{'depth': 104, 'type': 'start', 'count': 0}
{'depth': 105, 'type': 'increase', 'count': 1}
{'depth': 109, 'type': 'increase', 'count': 2}
{'depth': 120, 'type': 'increase', 'count': 3}
{'depth': 124, 'type': 'increase', 'count': 4}
{'depth': 113, 'type': 'decrease', 'count': 4}
{'depth': 120, 'type': 'increase', 'count': 5}
{'depth': 121, 'type': 'increase', 'count': 6}
{'depth': 122, 'type': 'increase', 'count': 7}
{'depth': 123, 'type': 'increase', 'count': 8}
{'depth': 134, 'type': 'increase', 'count': 9}
{'depth': 133, 'type': 'decrease', 'count': 9}
{'depth': 134, 'type': 'increase', 'count': 10}
{'depth': 150, 'type': 'increase', 'count': 11}
{'depth': 160, 'type': 'increase', 'count': 12}
{'depth': 165, 'type': 'increase', 'count': 13}
{'depth': 179, 'type': 'increase', 'count': 14}
{'depth': 178, 'type': 'decrease', 'count': 14}
{'depth': 180, 'type': 'increase', 'count': 15}
{'depth': 178, 'type': 'decrease', 'count': 15}
{'depth': 196, 'type': 'increase', 'count': 16}
{'depth': 197, 'type': 'increase', 'count': 17}
{'depth': 198, 'type': 'increase', 'count': 18}
{'depth': 204, 'type': 'increase', 'count': 19}
{'depth': 197, 'type': 'decrease', 'count': 19}
{'depth': 213, 'type': 'increase', 'count': 20}
{'depth': 206, 'type': 'decrease', 'count': 20}
{'depth': 207, 'type': 'increase', 'count': 21}
{'depth': 209, 'type': 'increase', 'count': 22}
{'depth': 210, 'type': 'increase', 'count': 23}
{'depth': 211, 'type': 'increase', 'count': 24}
{'depth': 223, 'type': 'increase', 'count': 25}
{'depth': 212, 'type': 'decrease', 'count': 25}
{'depth': 224, 'type': 'increase', 'count': 26}
{'depth': 228, 'type': 'increase', 'count': 27}
{'depth': 238, 'type': 'increase', 'count': 28}
{'depth': 237, 'type': 'decrease', 'count': 28}
{'depth': 238, 'type': 'increase', 'count': 29}
{'depth': 242, 'type': 'increase', 'count': 30}
{'depth': 245, 'type': 'increase', 'count': 31}
{'depth': 249, 'type': 'increase', 'count': 32}
{'depth': 250, 'type': 'increase', 'count': 33}
{'depth': 253, 'type': 'increase', 'count': 34}
{'depth': 248, 'type': 'decrease', 'count': 34}
{'depth': 261, 'type': 'increase', 'count': 35}
{'depth': 265, 'type': 'increase', 'count': 36}
{'depth': 274, 'type': 'increase', 'count': 37}
{'depth': 276, 'type': 'increase', 'count': 38}
{'depth': 274, 'type': 'decrease', 'count': 38}
{'depth': 275, 'type': 'increase', 'count': 39}
{'depth': 278, 'type': 'increase', 'count': 40}
{'depth': 275, 'type': 'decrease', 'count': 40}
{'depth': 276, 'type': 'increase', 'count': 41}
{'depth': 267, 'type': 'decrease', 'count': 41}
{'depth': 266, 'type': 'decrease', 'count': 41}
{'depth': 272, 'type': 'increase', 'count': 42}
{'depth': 275, 'type': 'increase', 'count': 43}
{'depth': 279, 'type': 'increase', 'count': 44}
{'depth': 280, 'type': 'increase', 'count': 45}
{'depth': 286, 'type': 'increase', 'count': 46}
{'depth': 282, 'type': 'decrease', 'count': 46}
{'depth': 292, 'type': 'increase', 'count': 47}
{'depth': 308, 'type': 'increase', 'count': 48}
{'depth': 323, 'type': 'increase', 'count': 49}
{'depth': 324, 'type': 'increase', 'count': 50}
{'depth': 319, 'type': 'decrease', 'count': 50}
{'depth': 310, 'type': 'decrease', 'count': 50}
{'depth': 304, 'type': 'decrease', 'count': 50}
{'depth': 309, 'type': 'increase', 'count': 51}
{'depth': 310, 'type': 'increase', 'count': 52}
{'depth': 320, 'type': 'increase', 'count': 53}
{'depth': 326, 'type': 'increase', 'count': 54}
{'depth': 322, 'type': 'decrease', 'count': 54}
{'depth': 340, 'type': 'increase', 'count': 55}
{'depth': 341, 'type': 'increase', 'count': 56}
{'depth': 340, 'type': 'decrease', 'count': 56}
{'depth': 339, 'type': 'decrease', 'count': 56}
{'depth': 344, 'type': 'increase', 'count': 57}
{'depth': 346, 'type': 'increase', 'count': 58}
{'depth': 342, 'type': 'decrease', 'count': 58}
{'depth': 353, 'type': 'increase', 'count': 59}
{'depth': 352, 'type': 'decrease', 'count': 59}
{'depth': 353, 'type': 'increase', 'count': 60}
{'depth': 349, 'type': 'decrease', 'count': 60}
{'depth': 346, 'type': 'decrease', 'count': 60}
{'depth': 330, 'type': 'decrease', 'count': 60}
{'depth': 342, 'type': 'increase', 'count': 61}
{'depth': 343, 'type': 'increase', 'count': 62}
{'depth': 344, 'type': 'increase', 'count': 63}
{'depth': 329, 'type': 'decrease', 'count': 63}
{'depth': 348, 'type': 'increase', 'count': 64}
{'depth': 346, 'type': 'decrease', 'count': 64}
{'depth': 367, 'type': 'increase', 'count': 65}
{'depth': 373, 'type': 'increase', 'count': 66}
{'depth': 379, 'type': 'increase', 'count': 67}
{'depth': 384, 'type': 'increase', 'count': 68}
{'depth': 388, 'type': 'increase', 'count': 69}
{'depth': 398, 'type': 'increase', 'count': 70}
{'depth': 387, 'type': 'decrease', 'count': 70}
{'depth': 392, 'type': 'increase', 'count': 71}
{'depth': 391, 'type': 'decrease', 'count': 71}
{'depth': 385, 'type': 'decrease', 'count': 71}
{'depth': 409, 'type': 'increase', 'count': 72}
{'depth': 411, 'type': 'increase', 'count': 73}
{'depth': 416, 'type': 'increase', 'count': 74}
{'depth': 419, 'type': 'increase', 'count': 75}
{'depth': 420, 'type': 'increase', 'count': 76}
{'depth': 423, 'type': 'increase', 'count': 77}
{'depth': 422, 'type': 'decrease', 'count': 77}
{'depth': 420, 'type': 'decrease', 'count': 77}
